slug;name;description
"rozetki";"Розетки";"Все работы с розетками: установка, замена, перенос, влагозащищённые и силовые розетки в Чолпон-Ате и сёлах Иссык-Куля."
"vyklyuchateli";"Выключатели";"Установка и замена выключателей: одноклавишные, двухклавишные, проходные, диммеры. Чолпон-Ата и район."
"osveshchenie";"Освещение";"Люстры, светильники, споты, прожекторы, уличное освещение — монтаж и ремонт на Иссык-Куле."
"lyustry";"Люстры";"Установка, замена и ремонт люстр любой сложности, включая каскадные и тяжёлые модели."
"avtomaty";"Автоматы защиты";"Замена и установка автоматических выключателей, подбор номинала, устранение выбивания."
"uzo";"УЗО и дифавтоматы";"Установка УЗО и дифавтоматов — защита от поражения током и пожара. Обязательны для влажных зон."
"schity";"Электрощиты";"Сборка, замена, перенос и ремонт электрощитов для квартир, домов и коммерческих объектов."
"schetchiki";"Счётчики электроэнергии";"Замена и перенос электросчётчиков с соблюдением требований энергосбыта."
"provodka";"Проводка";"Полная и частичная замена проводки, монтаж с нуля, открытая и скрытая прокладка кабеля."
"kabel";"Кабельные линии";"Прокладка кабеля открытым способом, в штробах, по фасадам, СИП по воздуху."
"srochno-24-7";"Срочно 24/7";"Аварийный электрик круглосуточно: КЗ, пропал свет, искрение, запах гари. Чолпон-Ата и сёла."
"dom-dacha";"Дом и дача";"Электрика частных домов: ввод, щит, заземление, уличное освещение, генераторы."
"kvartira";"Квартира";"Электромонтаж в квартирах: проводка под ключ, розетки, освещение, щиты."
"biznes";"Бизнес-объекты";"Пансионаты, гостиницы, кафе, магазины — электромонтаж и сезонное обслуживание."
"bytovaya-tehnika";"Бытовая техника";"Подключение плит, духовок, стиральных машин, бойлеров, посудомоек и кондиционеров."
"boyler";"Бойлеры и водонагреватели";"Подключение и выделенная линия для водонагревателей — актуально для курортной зоны."
"zazemlenie";"Заземление и защита";"Контур заземления, молниезащита, УЗО — безопасность дома на Иссык-Куле."
"slabotochka";"Слаботочка";"Интернет-розетки, видеонаблюдение, домофоны, ТВ и сигнализация — слаботочные сети под ключ."
